iter	Passed	Remaining
438	1356	1081
439	1359	1078
440	1362	1074
441	1365	1071
442	1368	1068
443	1371	1065
444	1374	1062
445	1377	1059
446	1379	1055
447	1382	1052
448	1385	1049
449	1388	1046
450	1391	1042
451	1394	1039
452	1397	1036
453	1400	1033
454	1403	1030
455	1406	1027
456	1409	1023
457	1412	1020
458	1415	1017
459	1418	1014
460	1421	1011
461	1424	1008
462	1427	1005
463	1430	1001
464	1433	998
465	1436	995
466	1439	992
467	1442	989
468	1445	986
469	1448	983
470	1451	979
471	1454	976
472	1457	973
473	1460	970
474	1463	967
475	1466	964
476	1469	961
477	1472	958
478	1476	955
479	1479	952
480	1483	949
481	1485	946
482	1488	943
483	1491	940
484	1494	936
485	1497	933
486	1500	930
487	1503	927
488	1506	924
489	1509	921
490	1512	918
491	1515	914
492	1518	911
493	1521	908
494	1524	905
495	1527	902
496	1530	898
497	1533	895
498	1535	892
499	1538	889
500	1541	886
501	1544	883
502	1547	880
503	1550	876
504	1553	873
505	1556	870
506	1559	867
507	1562	864
508	1565	861
509	1568	858
510	1571	854
511	1574	851
512	1577	848
513	1580	845
514	1583	842
515	1586	839
516	1589	836
517	1592	833
518	1595	830
519	1598	826
520	1601	823
521	1604	820
522	1607	817
523	1610	814
524	1613	811
525	1616	808
526	1619	805
527	1622	801
528	1625	798
529	1628	795
530	1631	792
531	1635	789
532	1637	786
533	1640	783
534	1644	780
535	1647	777
536	1650	774
537	1652	771
538	1655	768
539	1658	764
540	1661	761
541	1664	758
542	1668	755
543	1671	752
544	1673	749
545	1676	746
546	1679	743
547	1682	740
548	1685	736
549	1688	733
550	1691	730
551	1694	727
552	1697	724
553	1700	721
554	1704	718
555	1708	715
556	1711	712
557	1714	709
558	1716	706
559	1719	703
560	1722	700
561	1725	697
562	1728	694
563	1731	690
564	1734	687
565	1737	684
566	1740	681
567	1743	678
568	1746	675
569	1749	672
570	1752	668
571	1755	665
572	1758	662
573	1761	659
574	1764	656
575	1767	653
576	1770	650
577	1773	647
578	1776	644
579	1779	641
580	1782	638
581	1785	634
582	1788	631
583	1791	628
584	1794	625
585	1797	622
586	1800	619
587	1803	616
588	1806	613
589	1809	610
590	1812	607
591	1815	604
592	1818	601
593	1822	598
594	1824	595
595	1828	592
596	1831	588
597	1834	585
598	1837	582
599	1840	579
600	1842	576
601	1846	573
602	1849	570
603	1852	567
604	1855	564
605	1858	561
606	1861	557
607	1863	554
608	1866	551
609	1869	548
610	1872	545
611	1875	542
612	1878	539
613	1881	536
614	1884	533
615	1887	530
616	1890	527
617	1893	523
618	1896	520
619	1899	517
620	1902	514
621	1905	511
622	1908	508
623	1911	505
624	1914	502
625	1917	499
626	1920	496
627	1923	493
628	1926	489
629	1929	486
630	1931	483
631	1935	480
632	1938	477
633	1941	474
634	1943	471
635	1946	468
636	1949	465
637	1952	462
638	1955	459
639	1958	456
640	1961	452
641	1964	449
642	1967	446
643	1970	443
644	1973	440
645	1976	437
646	1979	434
647	1982	431
648	1985	428
649	1988	425
650	1991	422
651	1995	419
652	1999	416
653	2002	413
654	2005	410
655	2008	407
656	2011	404
657	2014	401
658	2017	397
659	2020	394
660	2023	391
661	2026	388
662	2029	385
663	2032	382
664	2035	379
665	2038	376
666	2041	373
667	2044	370
668	2047	367
669	2049	364
670	2052	361
671	2056	357
672	2058	354
673	2061	351
674	2064	348
675	2067	345
676	2070	342
677	2073	339
678	2076	336
679	2079	333
680	2082	330
681	2085	327
682	2088	324
683	2091	321
684	2094	318
685	2097	314
686	2100	311
687	2103	308
688	2106	305
689	2110	302
690	2113	299
691	2116	296
692	2119	293
693	2122	290
694	2125	287
695	2128	284
696	2131	281
697	2134	278
698	2137	275
699	2140	272
700	2143	269
701	2146	265
702	2148	262
703	2152	259
704	2155	256
705	2158	253
706	2160	250
707	2163	247
708	2166	244
709	2169	241
710	2172	238
711	2175	235
712	2178	232
713	2181	229
714	2184	226
715	2187	223
716	2190	219
717	2193	216
718	2196	213
719	2199	210
720	2202	207
721	2205	204
722	2208	201
723	2211	198
724	2214	195
725	2217	192
726	2220	189
727	2223	186
728	2226	183
729	2229	180
730	2232	177
731	2235	174
732	2237	170
733	2240	167
734	2243	164
735	2247	161
736	2250	158
737	2252	155
738	2255	152
739	2258	149
740	2261	146
741	2264	143
742	2267	140
743	2271	137
744	2274	134
745	2276	131
746	2279	128
747	2282	125
748	2285	122
749	2288	119
750	2291	115
751	2294	112
752	2297	109
753	2300	106
754	2303	103
755	2306	100
756	2309	97
757	2312	94
758	2315	91
759	2319	88
760	2322	85
761	2325	82
762	2328	79
763	2330	76
764	2334	73
765	2337	70
766	2340	67
767	2343	64
768	2346	61
769	2349	57
770	2351	54
771	2354	51
772	2357	48
773	2360	45
774	2363	42
775	2366	39
776	2369	36
777	2372	33
778	2375	30
779	2379	27
780	2382	24
781	2385	21
782	2388	18
783	2391	15
784	2394	12
785	2397	9
786	2400	6
787	2403	3
788	2406	0
