iter	RMSE
181	0.2501112558
182	0.2498883411
183	0.2494333135
184	0.2488893248
185	0.2481764982
186	0.2479522399
187	0.2477031359
188	0.2472323315
189	0.2468430206
190	0.2464577273
191	0.2459091577
192	0.2455681461
193	0.2450727447
194	0.2447454244
195	0.2444859342
196	0.2440539791
197	0.243280843
198	0.2428696222
199	0.2424496907
200	0.2420439404
201	0.2417901152
202	0.2413086543
203	0.2409323169
204	0.2404015819
205	0.2398900765
206	0.2395859202
207	0.2392559548
208	0.2387205245
209	0.2384703274
210	0.2382180764
211	0.2377294459
212	0.2372903102
213	0.2369273796
214	0.2367657641
215	0.2365341715
216	0.2363869581
217	0.2359306756
218	0.2356003026
219	0.2354436845
220	0.234977239
221	0.234634763
222	0.2345286443
223	0.2341848303
224	0.2339586424
225	0.2334543607
226	0.2330393845
227	0.2327964874
228	0.2321505006
229	0.2318381206
230	0.231396086
231	0.2310299615
232	0.2308814285
233	0.2306197944
234	0.2301389806
235	0.2297215696
236	0.2291658802
237	0.2289528467
238	0.2287272201
239	0.2283469793
240	0.2279820774
241	0.227700079
242	0.227316611
243	0.2269808902
244	0.2267899563
245	0.2264910095
246	0.2262146691
247	0.2259352851
248	0.2256126957
249	0.225309471
250	0.2250414059
251	0.2248400372
252	0.224521297
253	0.22430094
254	0.2240080928
255	0.2237646698
256	0.2235741621
257	0.223143838
258	0.2229611154
259	0.2227259311
260	0.2223844213
261	0.2219055617
262	0.2217175127
263	0.2215378134
264	0.2211684714
265	0.2208454044
266	0.2204991102
267	0.22029016
268	0.2201594657
269	0.2199086578
270	0.2197813914
271	0.2196340471
272	0.2193390085
273	0.2188891294
274	0.2184798674
275	0.2182300829
276	0.2179263806
277	0.217658676
278	0.2174556785
279	0.2172479623
280	0.2170175738
281	0.2167434239
282	0.216529379
283	0.2162990927
284	0.2160058562
285	0.2157038732
286	0.2152428663
287	0.2149622368
288	0.2147548789
289	0.2145241685
290	0.2143406721
291	0.2138644063
292	0.2137369958
293	0.2134400278
294	0.2132534871
295	0.2128622339
296	0.2124373632
297	0.2120866039
298	0.2118632802
299	0.2115344583
300	0.2113153065
301	0.2110499172
302	0.2107208684
303	0.210441883
304	0.2102287142
305	0.2099006459
306	0.2095969821
307	0.2092341938
308	0.2089905748
309	0.2088791205
310	0.2085816678
311	0.2083363551
312	0.208116126
313	0.2079482561
314	0.2078130054
315	0.2074949338
316	0.2071944403
317	0.2070333845
318	0.2068697204
319	0.2067296596
320	0.206517129
321	0.2063481827
322	0.2060314572
323	0.2059355894
324	0.2056900084
325	0.2054907722
326	0.2052843281
327	0.2051358245
328	0.2048125999
329	0.2045548442
330	0.2043564159
331	0.2041013403
332	0.2038919782
333	0.2036371058
334	0.2034439674
335	0.2032727681
336	0.2030394789
337	0.2027941594
338	0.2026034313
339	0.2022926169
340	0.2019874053
341	0.2018098261
342	0.2015729183
343	0.2012200181
344	0.2011000283
345	0.2008884175
346	0.2007255942
347	0.2005818532
348	0.2003971451
349	0.2000307745
350	0.1998569937
351	0.1996661378
352	0.1993314802
353	0.1991937446
354	0.1990737453
355	0.1989799643
356	0.1987367066
357	0.1985514816
358	0.1984495105
359	0.1982667152
360	0.1981821407
361	0.1979424758
362	0.1977263907
363	0.1975391972
364	0.1972847114
365	0.1971259531
366	0.1968819764
367	0.1968099486
368	0.1965631633
369	0.1964326831
370	0.1963618749
371	0.1962461562
372	0.1960689722
373	0.1958934343
374	0.1956464035
375	0.1954466196
376	0.1953045117
377	0.1951241619
378	0.1949325921
379	0.1947401139
380	0.1946294309
381	0.1943824875
382	0.1942383212
383	0.1941150521
384	0.1939961151
385	0.193887432
386	0.1936957504
387	0.1936006652
388	0.1932652584
389	0.1930350396
390	0.1927643616
391	0.1925553762
392	0.1923848644
393	0.1921907769
394	0.1920910893
395	0.1918449515
396	0.1917139899
397	0.1914257543
398	0.1912024863
399	0.1910867958
400	0.1908893023
401	0.1906043053
402	0.190403795
403	0.190290096
404	0.190053834
405	0.1899548703
406	0.1897601461
407	0.189636653
408	0.1894722437
409	0.1893518504
410	0.188996511
411	0.1887549658
412	0.1884582252
413	0.1882896613
414	0.1881234155
415	0.1879594148
416	0.1878745946
417	0.1876959929
418	0.1875128114
419	0.1873718953
420	0.1872438474
421	0.1871058879
422	0.1869035896
423	0.1867421366
424	0.1865183898
425	0.1864188676
426	0.1862682708
427	0.1861416687
428	0.1860775292
429	0.1859706901
430	0.1857830213
431	0.1855945881
432	0.1854622704
433	0.1853505479
434	0.1851829057
435	0.1849198338
436	0.1847204604
437	0.1846448033
438	0.1844123793
439	0.1842202647
440	0.1841188626
441	0.1839747181
442	0.1837345843
443	0.183617652
444	0.1834865123
445	0.1832849192
446	0.1830332438
447	0.1828035184
448	0.1825396284
449	0.1822777959
450	0.1822147047
451	0.1819087922
452	0.1817417177
453	0.1814489957
454	0.1813134558
455	0.1811882839
456	0.1810266982
457	0.1808721857
458	0.1805941051
459	0.1804519882
460	0.1803830798
461	0.1803189052
462	0.1802043628
463	0.1800895472
464	0.1800021966
465	0.1798084596
466	0.1797102732
467	0.1795891716
468	0.1794694062
469	0.1793088392
470	0.1792254417
471	0.1790980224
472	0.1789865804
473	0.1789303553
474	0.1786365902
475	0.1784093361
476	0.1783225426
477	0.1781049755
478	0.1779092717
479	0.1777722896
480	0.1775895542
481	0.1774236352
482	0.1772889167
483	0.1770578846
484	0.1769139923
485	0.1767995024
486	0.1766372902
487	0.1763629833
488	0.1761371302
489	0.1759564445
490	0.1757720253
491	0.1756560398
492	0.1755120077
493	0.175306966
494	0.1752015373
495	0.1750896506
496	0.1748718051
497	0.1747481945
498	0.174671065
499	0.1744792699
500	0.1742976067
501	0.1741046856
502	0.17391688
503	0.173622124
504	0.1734542807
505	0.1733460211
506	0.1732617219
507	0.1730785778
508	0.1729056196
509	0.1727751514
510	0.1726173188
511	0.1724888461
512	0.1722483579
513	0.1720894762
514	0.1719577726
515	0.1717558839
516	0.1716551595
517	0.1714746561
518	0.1713129465
519	0.1712081224
520	0.1710353867
521	0.1709444403
522	0.1707535132
523	0.1705781766
524	0.1704795549
525	0.1702936741
526	0.1702310207
527	0.1701321682
528	0.1699271705
529	0.1697051776
530	0.169573097
531	0.1693839066
532	0.1692473458
533	0.1690758123
534	0.168958236
535	0.1688362673
536	0.1687167948
537	0.1685927674
538	0.1685010968
539	0.1684286197
540	0.1683282094
541	0.1681737711
542	0.1680110033
543	0.1678851649
544	0.1677644155
545	0.1676205074
546	0.1675371854
547	0.1673850868
548	0.1671573598
549	0.1670755729
550	0.1668468051
551	0.1667029166
552	0.1665492836
553	0.1664163839
554	0.166301238
555	0.1661832108
556	0.1660684534
557	0.1659839073
558	0.1658774409
559	0.1657878976
560	0.1656829298
561	0.1655434974
562	0.1654100681
563	0.1652566828
564	0.1652097567
565	0.1651158188
566	0.164937174
567	0.1647816694
568	0.1646630717
569	0.1644057999
570	0.1642697679
571	0.1641189071
572	0.1640563949
573	0.1639776024
574	0.1638693903
575	0.1637509704
576	0.1636244232
577	0.1635825485
578	0.1634808802
579	0.1634241756
580	0.1633156745
581	0.1631159811
582	0.1630662267
583	0.1630090036
584	0.1629093258
585	0.1627908985
586	0.1626661492
587	0.1626476907
588	0.1625455137
589	0.1624546067
590	0.1623625313
591	0.1622161043
592	0.1620857017
593	0.1619489367
594	0.1618431772
595	0.1617399696
596	0.1616413307
597	0.1614592669
598	0.1612607561
599	0.1611606602
600	0.1609472995
601	0.160842389
602	0.1607589145
603	0.1606122397
604	0.1605286033
605	0.1604725958
606	0.1603928074
607	0.1602779628
608	0.1600733407
609	0.1600083197
610	0.1597980855
611	0.1596206103
612	0.1594723217
613	0.1593636771
614	0.1592337784
615	0.1591675801
616	0.1590110259
617	0.1589812501
618	0.1588080074
619	0.1586150272
620	0.1585197236
621	0.1583245739
622	0.1582355684
623	0.158137497
624	0.1579416058
625	0.157822834
626	0.1577281636
627	0.1575359799
628	0.1573990353
629	0.1572350347
630	0.1570665998
631	0.1568526917
632	0.156706309
633	0.1566358377
634	0.1564891827
635	0.15638051
636	0.1562652778
637	0.1560941648
638	0.156023835
639	0.1559798656
640	0.1557796727
641	0.1556813215
642	0.1555492856
643	0.1554758231
644	0.1553462634
645	0.155278956
646	0.1551793189
647	0.1551063323
648	0.1549470732
649	0.1548250807
650	0.1546883133
651	0.1545880968
652	0.1545343848
653	0.1543758568
654	0.1542456418
655	0.1540986912
656	0.1539934152
657	0.1539001486
658	0.1538170996
659	0.1536698042
660	0.1536043808
661	0.1535051418
662	0.1534767076
663	0.1533348017
664	0.1531891128
665	0.1531128305
666	0.152987375
667	0.1527933272
668	0.1526784644
669	0.1526200358
670	0.1525057519
671	0.152418529
672	0.1523405154
673	0.1522709123
674	0.1521737059
675	0.152063896
676	0.1520021083
677	0.1519072283
678	0.1517969452
679	0.1516779972
680	0.151592219
681	0.1514611722
682	0.1513041164
683	0.1510937538
684	0.1509427852
685	0.150764936
686	0.1506290279
687	0.1504913196
688	0.1504401214
689	0.1503474127
690	0.1502257732
691	0.1501921592
692	0.1500799529
693	0.1499585433
694	0.1499218588
695	0.1498118868
696	0.1497443786
697	0.14962721
698	0.149514644
699	0.1494183305
700	0.1493498985
701	0.1492656802
702	0.1491701957
703	0.1490977429
704	0.1489799604
705	0.1488406956
706	0.1487152765
707	0.1485188551
708	0.1483958488
709	0.1482774324
710	0.1482134939
711	0.1481648926
712	0.1480887218
713	0.1479711257
714	0.1478393486
715	0.1477649445
716	0.1476337687
717	0.1475552945
718	0.1474425981
719	0.1472549841
720	0.1471805345
721	0.1470035435
722	0.1469206101
723	0.146740564
724	0.1466473337
725	0.1465229919
726	0.146460657
727	0.1463492884
728	0.1462001375
729	0.146106052
730	0.1460017841
731	0.1459005669
732	0.1458120445
733	0.1456902186
734	0.1455588536
735	0.1454686783
736	0.1453623292
737	0.1452885297
738	0.1451880892
739	0.1450945914
740	0.1449654946
741	0.144894929
742	0.1448001048
743	0.1446218129
744	0.1444970423
745	0.1444507261
746	0.1443499153
747	0.1442186131
748	0.1441599521
749	0.1440119825
750	0.1439173076
751	0.1437932811
752	0.1437075386
753	0.1436728398
754	0.1435631014
755	0.143498889
756	0.1434514191
757	0.143339012
758	0.1432589462
759	0.1431670934
760	0.142941652
761	0.1428464743
762	0.1427398313
763	0.1426559776
764	0.1425946336
765	0.1424810101
766	0.142382897
767	0.142374973
768	0.1422657702
769	0.1421354032
770	0.1420010904
771	0.1418618641
772	0.1418033019
773	0.1416510709
774	0.141482759
775	0.1414080914
776	0.141336602
777	0.1412567051
778	0.1411417927
779	0.1410787539
780	0.1409330129
781	0.1408384787
782	0.1407013442
783	0.1406020339
784	0.1404784715
785	0.1403866952
786	0.1402322498
787	0.1400895091
788	0.1400026339
